PRS_NAT;libelle;grand_poste;poste;sous_poste
2247;FORFAIT PSYCHIATRIE  DE SECURITE - HOSPITALISATION AVEC HEBERGEMENT;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
2250;FORFAIT JOURNALIER - PART OC;Hospitalisation;Hospitalisation Forf.Journalie;Hospi. Forfait Journalier
2251;FORFAIT JOURNALIER;Hospitalisation;Hospitalisation Forf.Journalie;Hospi. Forfait Journalier
2252;FORFAIT JOURNALIER DE SORTIE;Hospitalisation;Hospitalisation Forf.Journalie;Hospi. Forfait Journalier
2257;FJ TRANSPLANTATION ORGANES;Hospitalisation;Hospitalisation Forf.Journalie;Hospi. Forfait Journalier
2258;FORFAIT DE SOINS JOURNALIER;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
2260;FORFAIT HOPITAL PROXIMITE COMPLEMENTAIRE;Hospitalisation;Hospitalisation Supplements;Hospitalisation Supplements
2261;FORFAIT ACCUEIL DU PATIENT N 1;Hospitalisation;Hospitalisation Supplements;Hospitalisation Supplements
2262;FORFAIT ACCUEIL DU PATIENT N 2;Hospitalisation;Hospitalisation Supplements;Hospitalisation Supplements
2271;FORFAIT HPT GROUPE 1;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
2272;FORFAIT HPT GROUPE 1.2;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
2273;FORFAIT HPT 15 %;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
2274;FORFAIT HPT GROUPE 2 + FAS1;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
2275;FORFAIT HPT GROUPE 2 + FAS2;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
2282;PARTICIPATION ASSURE TRANSITOIRE;Hospitalisation;Hospitalisation Honoraires;Hospitalisation Honoraires
2283;PARTICIPATION ASSURE HOSPITALISATION PUBLIQUE (CMU + AME);Hospitalisation;Hospitalisation Honoraires;Hospitalisation Honoraires
2284;PARTICIPATION ASSURE HOSPITALISATION PUBLIQUE (REGIME LOCAL);Hospitalisation;Hospitalisation Honoraires;Hospitalisation Honoraires
2285;PARTICIPATION ASSURE SUR SEJOUR;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
2290;FORFAIT JOURNALIER RL PRIVE;Hospitalisation;Hospitalisation Forf.Journalie;Hospi. Forfait Journalier
2331;RADIUMTHERAPIE ET CHIMIOTHERAPIE;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
2334;SEANCE D  HEMODIALYSE;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
2336;FORFAIT POUR CONSULTATION EN CENTRE MEDICO-PSYCHO PEDAGOGIQUE;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
2339;AUTRES FORFAITS DIVERS (Y COMPRIS NUTRITION ENTERALE A DOMICILE);Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
2341;SUPPLEMENT AU FORFAIT CHIMIOTHERAPIE;Hospitalisation;Hospitalisation Supplements;Hospitalisation Supplements
2343;FORFAIT POUR GARDE DE NUIT OU SAMEDI APRES MIDI EN ETABLIS. PRIVE;Hospitalisation;Hospitalisation Supplements;Hospitalisation Supplements
2344;FORFAIT DE GARDE NUIT ET FERIE EN ETABLIS. PRIVE;Hospitalisation;Hospitalisation Supplements;Hospitalisation Supplements
2345;FORFAIT POUR ASTREINTE DE DEBUT DE NUIT EN ETABLIS. PRIVE;Hospitalisation;Hospitalisation Supplements;Hospitalisation Supplements
2346;FORFAIT POUR ASTREINTE DE NUIT OU SAMEDI APRES MIDI EN ETABLIS. PRIVE;Hospitalisation;Hospitalisation Supplements;Hospitalisation Supplements
2347;FORFAIT D'ASTREINTE NUIT ET FERIE EN ETABLIS. PRIVE;Hospitalisation;Hospitalisation Supplements;Hospitalisation Supplements
2388;FORFAIT PSYCHIATRIE DE SECURITE HOSPITALISATION SANS HEBERGEMENT;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
2389;PRISE EN CHARGE DE NUIT POUR UNE DUREE ENTRE 8 ET 12H;Hospitalisation;Hospitalisation Supplements;Hospitalisation Supplements
2412;ANESTHESIE GENERALE;Hospitalisation;Hospitalisation Honoraires;hospitalisation honoraires
2419;FORFAIT INTERVENTION AMBULATOIRE;Hospitalisation;Hospitalisation Honoraires;hospitalisation honoraires
2421;INTERVENTION + ANESTHESIE AMBULATOIRE;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
2423;FORFAIT INTERVENTION AVEC NUITEE;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
2424;INTERVENTION + ANESTHESIE AVEC NUITEE;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
2425;FORFAIT IVG POUR 24H SUPPLEMENTAIRES - SECTEUR PRIVE/SECTEUR PUBLIC;Hospitalisation;Hospitalisation Supplements;Hospitalisation Supplements
3101;FORFAIT STRUCTURE PS AUXILIAIRES;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
3145;AMPUTATIONS;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
3146;AFF RESPIRATOIRES MAX FACIAL ET ORL;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
3147;DEVIATION RACHIS;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
3148;AFF NEURO MUSC OU RHUM INFLAM;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
3149;SOINS PALLIATIFS;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
3151;REEDUC ABDO ET PERINEOSPHINCTERIENNE;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
3152;RACHIS NON OPERE;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
3153;RACHIS OPERE;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
3154;REEDUC AFFECTIONS VASCULAIRES;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
3155;MEMBRE INFERIEUR OPERE ;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
3156;MEMBRE INFERIEUR NON OPERE ;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
3337;FORFAIT FAUSSE COUCHE VILLE;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
3338;FORFAIT FAUSSE COUCHE VILLE SANS ÉCHOGRAPHIE;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
3339;FORFAIT FAUSSE COUCHE ETABLISSEMENT AVEC ECHOGRAPHIE;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
3340;FORFAIT FAUSSE COUCHE ETABLISSEMENT SANS ECHOGRAPHIE;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
3344;ACCOMPAGNEMENT ANTIVITAMINE K INITIAL;Hospitalisation;Hospitalisation Honoraires;hospitalisation honoraires
3345;ACCOMPAGNEMENT ANTIVITAMINE SUIVANT;Hospitalisation;Hospitalisation Honoraires;hospitalisation honoraires
3346;ACCOMPAGNEMENT ANTICOAGULANTS ORAUX INITIAL;Hospitalisation;Hospitalisation Honoraires;hospitalisation honoraires
3347;ACCOMPAGNEMENT ANTICOAGULANTS ORAUX DIRECTS SUIVANT ;Hospitalisation;Hospitalisation Honoraires;hospitalisation honoraires
3348;ACCOMP. SUIVI INITIAL;Hospitalisation;Hospitalisation Honoraires;hospitalisation honoraires
3349;ACCOMP. SUIVI SUPPL.;Hospitalisation;Hospitalisation Honoraires;hospitalisation honoraires
3358;ACCOMPAGNEMENT CHIMIOTHERAPIE PATIENTS SOUS TRAITEMENTS ANTICANCEREUX AU LONG COURS POUR L'ANNEE INITIALE;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
3368;ACCOMPAGNEMENT CHIMIOTHERAPIE AUTRES TRAITEMENTS ANTICANCEREUX (PREMIERE ANNEE);Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
3370;ACCOMPAGNEMENT CHIMIOTHERAPIE SOUS TRAITEMENTS ANTICANCEREUX AU LONG COURS;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
3376;ACCOMPAGNEMENT CHIMIOTHERAPIE AUTRES TRAITEMENTS ANTICANCEREUX;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
3380;HONO DISP COMP  ;Hospitalisation;Hospitalisation Honoraires;Hospitalisation Honoraires
3412;TRANSPORT DU PRODUIT;Hospitalisation;Transport;Transport
4111;FORFAIT DE SURVEILLANCE MEDICALE  1ER HANDICAP;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
4112;FORFAIT DE SURVEILLANCE MEDICALE REDUIT  2EME HANDICAP;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
4203;SUPPLEMENT TRANSPORT PERSONNE MOBILITE REDUITE;Hospitalisation;Transport;Transport
4204;FORFAIT TRANSPORT URGENCE EXTRAMUROS CPAM MEUSE;Hospitalisation;Transport;Transport
4205;FORFAIT TRANSPORT URGENCE INTRAMUROS CPAM MEUSE;Hospitalisation;Transport;Transport
4206;PRESTATION FIN DE GARDE AMBULANCE;Hospitalisation;Transport;Transport
4207;FORFAIT TRANSPORT D'URGENCE EXPERIMENTATION CPAM AUDE;Hospitalisation;Transport;Transport
4208;FORFAIT D'URGENCE SUR APPEL DU SAMU EXPERIMENTATION CPAM BOUCHES-DU-RHONE;Hospitalisation;Transport;Transport
4209;COMPLEMENT TRANSPORTS D'URGENCE;Hospitalisation;Transport;Transport
4210;Taxi tarif A;Hospitalisation;Transport;Transport
4211;SERVICES MOBILES D  URGENCE ET DE REANIMATION (SMUR);Hospitalisation;Transport;Transport
4212;AMBULANCES AGREEES;Hospitalisation;Transport;Transport
4213;VEHICULES SANITAIRES LEGERS (VSL);Hospitalisation;Transport;Transport
4214;TAXIS;Hospitalisation;Transport;Transport
4215;VEHICULES PERSONNELS;Hospitalisation;Transport;Transport
4216;TRANSPORT REEDUCATION PROFESSIONNEL;Hospitalisation;Transport;Transport
4217;Taxi tarif B;Hospitalisation;Transport;Transport
4218;Taxi tarif C;Hospitalisation;Transport;Transport
4219;AUTRES MODES DE TRANSPORT;Hospitalisation;Transport;Transport
4220;Taxi tarif D;Hospitalisation;Transport;Transport
4221;AMBULANCE AGREEE DE GARDE;Hospitalisation;Transport;Transport
4222;INDEMNITE DE GARDE AMBULANCIERE;Hospitalisation;Hospitalisation Supplements;Hospitalisation Supplements
4224;PRATIQUE DE GEO LOCALISATION PAR DISPOSITIF EMBARQUE;Hospitalisation;Transport;Transport
4225;FORFAIT TRANSPORT PARTAGE PAR 2 PERSONNES;Hospitalisation;Transport;Transport
4226;FORFAIT TRANSPORT PARTAGE PAR 3 PERSONNES;Hospitalisation;Transport;Transport
4229;Taxi tarif F;Hospitalisation;Transport;Transport
4232;INTERVENTION DURANT GARDE;Hospitalisation;Transport;Transport
4233;INTERVENTION HORS GARDE;Hospitalisation;Transport;Transport
4315;AUTOPSIE;Hospitalisation;Hospitalisation Honoraires;Hospitalisation Honoraires
4322;TRANSPORT DU CORPS;Hospitalisation;Transport;Transport
9112;COMPLEMENT FRAIS DE TRANSPORT ET DE SEJOUR;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
9113;FRAIS OCCASIONNE PAR LE DON D ORGANES;Hospitalisation;Hospitalisation Supplements;Hospitalisation Supplements
9114;COMPLEMENT AUX FRAIS D HOSPITALISATION DE LA MERE QUI ALLAITE SON ENFANT;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
9143;SUPPLEMENT POUR SOINS AUX POLYTRAUMATISES;Hospitalisation;Hospitalisation Supplements;Hospitalisation Supplements
9774;ACTES FOURNITURES SORTIE D'HOSPITALISATION COORDONNEE;Hospitalisation;Hospitalisation Sejour;Hospitalisation Sejour
9901;TRANSPORT POUR PERSONNE ACCOMPAGNANTE (MILITAIRES);Hospitalisation;Transport;Transport
1066;FORFAIT REGULATEUR SAS;HP;HP;HP
1138;REMUNERATION ADDITIONNELLE CAPI;HP;HP;HP
1142;REMUNERATION ADHESION SOPHIA (SOINS DE VILLE);HP;HP;HP
1143;REMUNERATION RENOUVELLEMENT SOPHIA (SOINS DE VILLE);HP;HP;HP
1144;REMUNERATION FORFAITAIRE POUR LE SUIVI DES PATIENTS EN POST ALD;HP;HP;HP
1145;REMUNERATION OBJECTIF MEDECIN ET CENTRES DE SANTE;HP;HP;HP
1146;REMUNERATION OBJECTIF MEDECIN COMPLEMENT ET CENTRES DE SANTE;HP;HP;HP
1155;REMU CAS COTISATIONS SOCIALES;HP;HP;HP
1161;COMPENSATION DE LA PERTE D'ACTIVITE DES PS;HP;HP;HP
1162;REMUNERATION DES PRATICIENS TERRITORIAUX DE MEDECINE AMBULATOIRE;HP;HP;HP
1169;REMUNERATION POUR CERTIFICAT DE DECES ;HP;HP;HP
1171;RÉMUNÉRATION MÉDECIN TRAITANT CENTRES DE SANTÉ;HP;HP;HP
1195;FOND INNOVATION - PAIEMENT;HP;HP;HP
1606;FORFAIT CONTRAT DE BONNES PRATIQUES;HP;HP;HP
1608;FORFAIT CONTRAT DE SANTE PUBLIQUE BIOLOGISTES;HP;HP;HP
1610;RÉMUNÉRATION CONTRAT D'ACCÈS AUX SOINS DENTAIRES;HP;HP;HP
1618;COMPLEMENT DE REMUNERATION CHEF DE CLINIQUE;HP;HP;HP
1621;CONTRAT D'AMELIORATION DE L'ORGANISATION DES SOINS - TRANSPORTS;HP;HP;HP
1628;DEMO. AIDE FORFAITAIRE GROUPE;HP;HP;HP
1630;DEMO. ACTIVITE GROUPE;HP;HP;HP
1637;CONTESTATION POUR AIDE A L'ACTIVITE POUR LES ADHERENTS A L'OPTION DEMOGRAPHIE DANS UN POLE DE SANTE;HP;HP;HP
1639;CONTESTATION POUR FRAIS DE DEPLACEMENT POUR LES ADHERENTS A L'OPTION SST;HP;HP;HP
1640;FORFAIT AIDE A L'INSTALLATION DU MEDECIN - CAIM;HP;HP;HP
1641;MAJORATION AIDE À L'INSTALLATION DU MEDECIN - CAIM;HP;HP;HP
1642;MAJORATION POUR EXERCICE PARTIEL EN HÔPITAL DE PROXIMITÉ - CAIM;HP;HP;HP
1643;PAIEMENT AIDE ACTIVITE - CSTM;HP;HP;HP
1646;AIDE FORFAITAIRE - COSCOM;HP;HP;HP
1647;REMUNERATION COMPLEMENTAIRE ACCUEIL DE STAGIAIRE - COSCOM;HP;HP;HP
1648;REMUNERATION COMPLEMENTAIRE EXERCICE EN HOPITAL - COSCOM;HP;HP;HP
1649;PAIEMENT MAJORATION DE LA REMUNERATION ARS - COSCOM;HP;HP;HP
1651;PAIEMENT MAJORATION REMUNERATION ARS   COTRAM;HP;HP;HP
1652;PTMR  -  REMPLACEMENT;HP;HP;HP
1919;DEPENSES DE MEDECINE FORFAITAIRE (OMNIPRATICIENS ET AUXILIAIRES MEDICAUX);HP;HP;HP
1920;CONTRAT DEMOGRAPHIQUE SAGE-FEMME;HP;HP;HP
1924;INDEMNISATION VACATION MEDECINS;HP;HP;HP
1925;REMUNERATION VACCINATION GRIPPE A PAR MEDECIN RETRAITE ET SALARIES HORS OBLIGATIONS ;HP;HP;HP
1927;REMUNERATION CPTS ;HP;HP;HP
1962;VACATION MEDECIN VACCINATION COVID 19;HP;HP;HP
1991;REMUNERATION REGULATION;HP;HP;HP
2160;MISSION D'INTERET GENERAL SSR;HP;HP;HP
2161;FORFAIT MISSION D INTERET GENERAL D AIDE A LA CONTRACTUALISATION;HP;HP;HP
2176;DIFFERENTIEL SSR REGLEMENTAIRE;HP;HP;HP
2201;BUDGET GLOBAL;HP;HP;HP
2202;MEDICALISATION DES PERSONNES AGEES;HP;HP;HP
2203;SSAD : SERVICE DE SOINS A DOMICILE;HP;HP;HP
2204;CAMSP: CENTRE ACTION MEDICO-SOCIALE PRECOCE;HP;HP;HP
2205;CCAA : CENTRE DE CURE AMBULATOIRE EN ALCOOLOGIE;HP;HP;HP
2249;FORFAIT ACTIVITE ISOLE;HP;HP;HP
2259;SAISIE MANUELLE DES SEJOURS POUR LEQUELS LE FJ EST SUPERIEUR AU TM;HP;HP;HP
2263;FORFAIT IFAQ;HP;HP;HP
2264;FORFAIT IFAQ SSR;HP;HP;HP
2265;DOTATION MODULEE A L'ACTIVITE;HP;HP;HP
2371;TARIF SOINS GIR 1 ET 2;HP;HP;HP
2372;TARIF SOINS GIR 3 ET 4;HP;HP;HP
2373;TARIF SOINS GIR 5 ET 6;HP;HP;HP
3126;CONTRAT DEMOGRAPHIQUE KINE;HP;HP;HP
3144;VACATION HORS MEDECINS VACCI COVID19;HP;HP;HP
3150;INDEMNITE INFLATION;HP;HP;HP
3300;REMUNERATION ROSP AOD;HP;HP;HP
3330;ECART INDEMNISABLE RETROCESSION;HP;HP;HP
3375;REMUNERATION PHARMACIENS POUR VACCINS H1N1;HP;HP;HP
3395;Plan personnalisé de santé pharmacie;HP;HP;HP
3399;REMUNERATION PHARMACIENS POUR VACCINS H1N1 - REGULARISATION COMPTABLE ET SAISIE MANUELLE;HP;HP;HP
3400;REMUNERATION DISPENSATION ADAPTEE;HP;HP;HP
3572;ECART TIPS INDEMNISABLE;HP;HP;HP
3576;PRESTATION PARTICULIERE ET PANDEMIE;HP;HP;HP
4223;PART ASSOCIATION TRANSPORTEUR;HP;HP;HP
4228;CONTRAT D'AMELIORATION DE LA QUALITE ET DE LA COORDINATION DES SOINS COMPLEMENT;HP;HP;HP
4231;COMPLEMENT MINIMUM GARANTI;HP;HP;HP
4312;FRAIS DE DEPLACEMENT - COLLEGE 3 MEDECINS;HP;HP;HP
4313;HONORAIRES;HP;HP;HP
4314;ENQUETE;HP;HP;HP
4316;FRAIS EXPERTISE AMI;HP;HP;HP
4323;INDEMNITE ALLOUEE EN REPARATION DES PREJUDICES EXTRA-PATRIMOMIAUX;HP;HP;HP
4324;INDEMNITE DE CHANGEMENT D  EMPLOI;HP;HP;HP
4341;FRAIS DE TUTELLE;HP;HP;HP
4342;COTISATIONS A.T. EN CAS DE READAPTATION FONCTIONNELLE;HP;HP;HP
4343;COTISATIONS A.T. EN CAS DE REEDUCATION PROFESSIONNELLE;HP;HP;HP
4351;PRIME DE FIN DE REEDUCATION;HP;HP;HP
4352;AUTRES PRESTATIONS DIVERSES;HP;HP;HP
4353;INDEMNITE POUR PERTE DE SALAIRE (MALADIE, AT);Indemnités Journalières;Autres revenus de remplacement;Autres revenus de remplacement
4368;FORFAIT STRUCTURE CENTRE DE SANTE;HP;HP;HP
4371;FORFAIT DE SOINS MEDICALISES (REGIME DES MINISTRES DES CULTES ET DES MEMBRES CONGR. ET COLL.RELIGIEUSES);HP;HP;HP
4372;FORFAIT REPOS CONVALESCENCE (REGIME DES MINISTRES DES CULTES ET DES MEMBRES CONGR. ET COLL.RELIGIEUSES);HP;HP;HP
4375;AIDE OUTIL DE MISE A JOUR;HP;HP;HP
4379;AVANCE RÉMUNÉRATION SPÉCIFIQUE CENTRES DE SANTÉ ;HP;HP;HP
4380;SOLDE RÉMUNÉRATION SPÉCIFIQUE CENTRES DE SANTÉ ;HP;HP;HP
4391;RESPONSABILITE CIVILE PROFESSIONNELLE;HP;HP;HP
4411;AIDE SOCIALE;HP;HP;HP
4412;DISPENSAIRES ANTITUBERCULEUX;HP;HP;HP
4413;DISPENSAIRES ANTIVENERIENS;HP;HP;HP
4414;HYGIENE MENTALE;HP;HP;HP
4415;ETABLISSEMENTS DE LUTTE CONTRE LA TUBERCULOSE;HP;HP;HP
4416;PROTECTION MATERNELLE ET INFANTILE;HP;HP;HP
4417;AUTRES PARTICIPATIONS FORFAITAIRES NON INDIVIDUALISEES;HP;HP;HP
4419;AUTRES DEPENSES NON INDIVIDUALISEES;HP;HP;HP
4501;CONTROLES MEDICAUX (CLERCS ET EMPLOYES DE NOTAIRES);HP;HP;HP
4511;CAPITAL DECES;HP;HP;HP
4513;FORFAIT CDC RETRAITE TI;HP;HP;HP
4611;FORFAIT DIVERS PAYES A LA STRUCTURE DE SOINS (FILIERES ET RESEAUX);HP;HP;HP
4612;FORFAIT D EDUCATION THERAPEUTIQUE ET D INTERESSEMENT (FILIERES ET RESEAUX);HP;HP;HP
6115;IJ MAJOREES -3MOIS;Indemnités Journalières;IJ Maladie;IJ majorées
6116;IJ MAJOREES +3MOIS;Indemnités Journalières;IJ Maladie;IJ majorées
6119;IJ MAJOREES + 6 MOIS;Indemnités Journalières;IJ Maladie;IJ majorées
6121;IJ PRENATALES;Indemnités Journalières;IJ Maternité / Paternité;IJ Maternité / Paternité
6213;INDEMNITE DE REMPLACEMENT PATERNITE;Indemnités Journalières;IJ Maternité / Paternité;IJ Maternité / Paternité
6235;INDEMNITE DE REMPLACEMENT CONJOINTE COLLABORATRICE;Indemnités Journalières;IJ Maladie;IJ Maladie
6238;INDEMNITES PATERNITE CONJOINT INFIRMIER;Indemnités Journalières;IJ Maternité / Paternité;IJ Maternité / Paternité
6239;INDEMNITÉ MALADIE DOUBLE ACTIVITÉ  PAMC;Indemnités Journalières;IJ Maladie;IJ Maladie
6253;ALLOCATION NUIT MAJOREE  3 ENFANTS - 3 MOIS;Indemnités Journalières;IJ Maladie;IJ majorées
6254;ALLOCATION NUIT MAJOREE  3 ENFANTS + 3 MOIS;Indemnités Journalières;IJ Maladie;IJ majorées
6255;ALLOCATION NUIT MAJOREE ARRET + 6 MOIS ;Indemnités Journalières;IJ Maladie;IJ majorées
6256;ALLOCATION NUIT MAJOREE ARRET + 6 MOIS ET 3 ENFANTS;Indemnités Journalières;IJ Maladie;IJ majorées
6261;ALLOCATION EXPOSITION MAJOREE 3 ENFANTS - 3 MOIS;Indemnités Journalières;IJ Maladie;IJ majorées
6262;ALLOCATION EXPOSITION MAJOREE 3 ENFANTS + 3 MOIS;Indemnités Journalières;IJ Maladie;IJ majorées
6311;RDS IJ MATERNITE;HP;HP;HP
7113;PENSION INVALIDITE MAJORATIONS POUR ASSISTANCE D  UNE TIERCE PERSONNE;HP;HP;HP
7119;PENSIONS D  INVALIDITE SERVIES PAR LE REGIME SPECIAL DE SECURITE SOCIALE DANS LES MINES;HP;HP;HP
8111;RENTES DE VICTIME;HP;HP;HP
8113;RENTES DE CONJOINT SURVIVANT;HP;HP;HP
8114;RENTES DE REVERSION;HP;HP;HP
8115;RENTES D  ORPHELIN;HP;HP;HP
8116;RENTES D  ASCENDANT;HP;HP;HP
8117;MAJORATION FAUTE INEXCUSABLE RENTE ASCENDANT;HP;HP;HP
8118;MAJORATION FAUTE INEXCUSABLE RENTE VICTIME;HP;HP;HP
8119;MAJORATION FAUTE INEXCUSABLE RENTE CONJOINT;HP;HP;HP
8120;MAJORATION FAUTE INEXCUSABLE RENTE ORPHELIN;HP;HP;HP
8222;RACHAT OBLIGATOIRE;HP;HP;HP
8223;RACHAT FACULTATIF TOTAL;HP;HP;HP
8224;RACHAT FACULTATIF PARTIEL;HP;HP;HP
8225;TRANSFERT DE CAPITAUX;HP;HP;HP
8227;MAJORATION FAUTE INEXCUSABLE INDEMNITE EN CAPITAL;HP;HP;HP
9115;PERTE DE SALAIRE POUR ENFANT MALADE;Indemnités Journalières;Autres revenus de remplacement;Autres revenus de remplacement
9116;INDEMNITES JOURNALIERES MATERNITE POUR CERTAINES CATEGORIES D ASSURES;Indemnités Journalières;IJ Maternité / Paternité;IJ Maternité / Paternité
9122;ALLOCATION DECES;HP;HP;HP
9135;AIDE FINANCIERE EXCEPTIONNELLE (SECOURS);HP;HP;HP
9144;HONORAIRES REMUNERANT LA PERMANENCE TELEPHONIQUE SUR LA BASE DE 3 C DE L HEURE (ASTREINTE);HP;HP;HP
9151;PLAN SEGUIN;HP;HP;HP
9152;PLAN EVIN;HP;HP;HP
9161;PRESTATIONS SUPPLEMENTAIRES ALSACE-MOSELLE;HP;HP;HP
9162;SURVEILLANCE MEDICALE MATERNELLE EN ACTION SANITAIRE ET SOCIALE;HP;HP;HP
9163;CENTRE EXAMEN SANTE  SAISIE MANUELLE;HP;HP;HP
9164;PRESTATIONS D ASS SNCF ET REGIME GENERAL;HP;HP;HP
9165;PRESTATIONS D ASS SNCF ET REGIME GENERAL;HP;HP;HP
9166;PRESTATIONS D ASS SNCF ET REGIME GENERAL;HP;HP;HP
9167;PRESTATIONS D ASS SNCF ET REGIME GENERAL;HP;HP;HP
9168;PRESTATIONS D ASS SNCF ET REGIME GENERAL;HP;HP;HP
9169;PRESTATIONS D ASS SNCF ET REGIME GENERAL;HP;HP;HP
9170;PRESTATIONS D ASS SNCF ET REGIME GENERAL;HP;HP;HP
9425;TM POUR DC (MSA);HP;HP;HP
9426;TM POUR SC(MSA);HP;HP;HP
9427;TM POUR Z(MSA);HP;HP;HP
9567;REMUNERATION ADHESION SOPHIA (PREVENTION);HP;HP;HP
9568;REMUNERATION RENOUVELLEMENT SOPHIA (PREVENTION);HP;HP;HP
9701;COMPLEMENT D ACTION SOCIALE APPAREIL DE SURDITE (CLERCS ET EMPLOYES DE NOTAIRES, PORT AUTONOME DE BORDEAUX);HP;HP;HP
9702;COMPLEMENT D ACTION SOCIALE BRIDGE (CLERCS ET EMPLOYES DE NOTAIRES);HP;HP;HP
9703;COMPLEMENT D ACTION SOCIALE DENTAIRE (CLERCS ET EMPLOYES DE NOTAIRES);HP;HP;HP
9704;COMPLEMENT D ACTION SOCIALE PROTHESES DENTAIRES (CLERCS ET EMPLOYES DE NOTAIRES, PORT AUTONOME DE BORDEAUX);HP;HP;HP
9705;COMPLEMENT D ACTION SOCIALE DENTAIRE ALSACE MOSELLE (CLERCS ET EMPLOYES DE NOTAIRES);HP;HP;HP
9706;COMPLEMENT D ACTION SOCIALE OPTIQUE (CLERCS ET EMPLOYES DE NOTAIRES);HP;HP;HP
9707;COMPLEMENT D ACTION SOCIALE OPTIQUE, ENFANT DE MOINS DE 16 ANS (CLERCS ET EMPLOYES DE NOTAIRES);HP;HP;HP
9708;COMPLEMENT D ACTION SOCIALE MONTURES (CLERCS ET EMPLOYES DE NOTAIRES, PORT AUTONOME DE BORDEAUX);HP;HP;HP
9709;COMPLEMENT D ACTION SOCIALE VERRES (CLERCS ET  EMPLOYES DE NOTAIRES, PORT AUTONOME DE BORDEAUX);HP;HP;HP
9710;COMPLEMENT D ACTION SOCIALE LENTILLES (CLERCS ET EMPLOYES DE NOTAIRES, PORT AUTONOME DE BORDEAUX);HP;HP;HP
9713;AIDE AUX SEJOURS DES ENFANTS (CLERCS ET EMPLOYES DE NOTAIRES);HP;HP;HP
9714;ALLOCATION VACANCES (CLERCS ET EMPLOYES DE NOTAIRES);HP;HP;HP
9715;AIDES FINANCIERES INDIVIDUELLES OPTIQUE;HP;HP;HP
9716;ACTION SOCIALE DENTAIRE;HP;HP;HP
9717;ACTION SOCIALE AUDITIF;HP;HP;HP
9719;AIDES FINANCIERES INDIVIDUELLES HOSPITALISATION;HP;HP;HP
9721;AIDES FINANCIERES INDIVIDUELLES DIFFICULTES FINANCIERES;HP;HP;HP
9722;AIDES FINANCIERES INDIVIDUELLES AUTRES;HP;HP;HP
9723;VACANCES RETRAITES (CLERCS ET EMPLOYES DE NOTAIRES);HP;HP;HP
9732;AIDE A L'ACQUISITION D'UNE COUVERTURE COMPLEMENTAIRE POUR LES VICTIMES DU SEUIL ACS;HP;HP;HP
9741;AIDES AU LOGEMENT;HP;HP;HP
9742;AIDE A LA COMMUNICATION HORS AUDITIF;HP;HP;HP
9744;AUTRES TYPES D AIDES;HP;HP;HP
9751;FOURNITURES ET ACCESSOIRES NON REMBOURSABLES;HP;HP;HP
9763;AIDES FINANCIERES A CARACTERE SOCIAL AFFECTEES AU LOGEMENT;HP;HP;HP
9764;AIDES FINANCIERES A CARACTERE SOCIAL AFFECTEES AUX BESOINS ALIMENTAIRES ET VESTIMENTAIRES;HP;HP;HP
